model,fold,row_id_x,day,y,proba,row_id_y,ret_next,close,sentiment,signal,turnover,cost,strategy_ret,equity,strategy
logreg_l2,0,390,2019-08-05,1,0.496224689889282,570,0.0206397730224379,100098.0,-0.007550620221436,0,0,0.0,0.0,1.0,long_only_55
rf_200,0,390,2019-08-05,1,0.5537897296049503,570,0.0206397730224379,100098.0,0.1075794592099006,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,390,2019-08-05,1,0.5537897296049503,570,0.0206397730224379,100098.0,0.1075794592099006,1,1,0.0005,0.0201397730224379,1.020139773022438,long_only_55
logreg_l2,0,390,2019-08-05,1,0.496224689889282,570,0.0206397730224379,100098.0,-0.007550620221436,0,0,0.0,0.0,1.0,long_short_sym
logreg_l2,0,390,2019-08-05,1,0.496224689889282,570,0.0206397730224379,100098.0,-0.007550620221436,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,390,2019-08-05,1,0.5537897296049503,570,0.0206397730224379,100098.0,0.1075794592099006,1,1,0.0007,0.0199397730224379,1.019939773022438,long_short_sym
logreg_l2,0,391,2019-08-06,1,0.4873611518254821,571,0.0060490975294624,102164.0,-0.0252776963490357,0,0,0.0,0.0,1.0,long_short_sym
rf_200,0,391,2019-08-06,1,0.5209253587316153,571,0.0060490975294624,102164.0,0.0418507174632305,0,1,0.0005,-0.0005,1.0196297031359267,long_only_55
rf_200,0,391,2019-08-06,1,0.5209253587316153,571,0.0060490975294624,102164.0,0.0418507174632305,0,0,0.0,0.0,1.0,long_only_60
logreg_l2,0,391,2019-08-06,1,0.4873611518254821,571,0.0060490975294624,102164.0,-0.0252776963490357,0,0,0.0,0.0,1.0,long_only_55
rf_200,0,391,2019-08-06,1,0.5209253587316153,571,0.0060490975294624,102164.0,0.0418507174632305,0,1,0.0007,-0.0007,1.0192258151813225,long_short_sym
logreg_l2,0,391,2019-08-06,1,0.4873611518254821,571,0.0060490975294624,102164.0,-0.0252776963490357,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,392,2019-08-07,1,0.5079085492237678,572,0.0129691969410985,102782.0,0.0158170984475356,0,0,0.0,0.0,1.0,long_only_60
logreg_l2,0,392,2019-08-07,1,0.5103324951228672,572,0.0129691969410985,102782.0,0.0206649902457343,0,0,0.0,0.0,1.0,long_only_55
rf_200,0,392,2019-08-07,1,0.5079085492237678,572,0.0129691969410985,102782.0,0.0158170984475356,0,0,0.0,0.0,1.0196297031359267,long_only_55
logreg_l2,0,392,2019-08-07,1,0.5103324951228672,572,0.0129691969410985,102782.0,0.0206649902457343,0,0,0.0,0.0,1.0,long_short_sym
rf_200,0,392,2019-08-07,1,0.5079085492237678,572,0.0129691969410985,102782.0,0.0158170984475356,0,0,0.0,0.0,1.0192258151813225,long_short_sym
logreg_l2,0,392,2019-08-07,1,0.5103324951228672,572,0.0129691969410985,102782.0,0.0206649902457343,0,0,0.0,0.0,1.0,long_only_60
logreg_l2,0,393,2019-08-08,0,0.4644285823691866,573,-0.0011429669115881,104115.0,-0.0711428352616267,0,0,0.0,-0.0,1.0,long_short_sym
logreg_l2,0,393,2019-08-08,0,0.4644285823691866,573,-0.0011429669115881,104115.0,-0.0711428352616267,0,0,0.0,-0.0,1.0,long_only_60
rf_200,0,393,2019-08-08,0,0.5066804150734439,573,-0.0011429669115881,104115.0,0.0133608301468877,0,0,0.0,-0.0,1.0,long_only_60
rf_200,0,393,2019-08-08,0,0.5066804150734439,573,-0.0011429669115881,104115.0,0.0133608301468877,0,0,0.0,-0.0,1.0196297031359267,long_only_55
logreg_l2,0,393,2019-08-08,0,0.4644285823691866,573,-0.0011429669115881,104115.0,-0.0711428352616267,0,0,0.0,-0.0,1.0,long_only_55
rf_200,0,393,2019-08-08,0,0.5066804150734439,573,-0.0011429669115881,104115.0,0.0133608301468877,0,0,0.0,-0.0,1.0192258151813225,long_short_sym
logreg_l2,0,394,2019-08-09,0,0.4786515052048837,574,-0.0200103850148082,103996.0,-0.0426969895902326,0,0,0.0,-0.0,1.0,long_only_55
logreg_l2,0,394,2019-08-09,0,0.4786515052048837,574,-0.0200103850148082,103996.0,-0.0426969895902326,0,0,0.0,-0.0,1.0,long_short_sym
rf_200,0,394,2019-08-09,0,0.5377434526322884,574,-0.0200103850148082,103996.0,0.0754869052645768,0,0,0.0,-0.0,1.0196297031359267,long_only_55
rf_200,0,394,2019-08-09,0,0.5377434526322884,574,-0.0200103850148082,103996.0,0.0754869052645768,0,0,0.0,-0.0,1.0,long_only_60
logreg_l2,0,394,2019-08-09,0,0.4786515052048837,574,-0.0200103850148082,103996.0,-0.0426969895902326,0,0,0.0,-0.0,1.0,long_only_60
rf_200,0,394,2019-08-09,0,0.5377434526322884,574,-0.0200103850148082,103996.0,0.0754869052645768,0,0,0.0,-0.0,1.0192258151813225,long_short_sym
rf_200,0,395,2019-08-12,1,0.5528824456371865,577,0.0135799440710395,101915.0,0.1057648912743729,1,1,0.0005,0.0130799440710395,1.0329664026261152,long_only_55
logreg_l2,0,395,2019-08-12,1,0.5465220664282978,577,0.0135799440710395,101915.0,0.0930441328565956,0,0,0.0,0.0,1.0,long_only_55
logreg_l2,0,395,2019-08-12,1,0.5465220664282978,577,0.0135799440710395,101915.0,0.0930441328565956,0,0,0.0,0.0,1.0,long_short_sym
logreg_l2,0,395,2019-08-12,1,0.5465220664282978,577,0.0135799440710395,101915.0,0.0930441328565956,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,395,2019-08-12,1,0.5528824456371865,577,0.0135799440710395,101915.0,0.1057648912743729,1,1,0.0007,0.0128799440710395,1.0323533866766172,long_short_sym
rf_200,0,395,2019-08-12,1,0.5528824456371865,577,0.0135799440710395,101915.0,0.1057648912743729,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,396,2019-08-13,0,0.5343772422277165,578,-0.0294388135412734,103299.0,0.068754484455433,0,0,0.0,-0.0,1.0,long_only_60
rf_200,0,396,2019-08-13,0,0.5343772422277165,578,-0.0294388135412734,103299.0,0.068754484455433,0,1,0.0005,-0.0005,1.0324499194248022,long_only_55
logreg_l2,0,396,2019-08-13,0,0.5020396381427723,578,-0.0294388135412734,103299.0,0.0040792762855446,0,0,0.0,-0.0,1.0,long_short_sym
logreg_l2,0,396,2019-08-13,0,0.5020396381427723,578,-0.0294388135412734,103299.0,0.0040792762855446,0,0,0.0,-0.0,1.0,long_only_60
logreg_l2,0,396,2019-08-13,0,0.5020396381427723,578,-0.0294388135412734,103299.0,0.0040792762855446,0,0,0.0,-0.0,1.0,long_only_55
rf_200,0,396,2019-08-13,0,0.5343772422277165,578,-0.0294388135412734,103299.0,0.068754484455433,0,1,0.0007,-0.0007,1.0316307393059436,long_short_sym
logreg_l2,0,397,2019-08-14,0,0.4997357113514139,579,-0.0119790939376408,100258.0,-0.0005285772971721,0,0,0.0,-0.0,1.0,long_only_55
rf_200,0,397,2019-08-14,0,0.5444701264920024,579,-0.0119790939376408,100258.0,0.0889402529840048,0,0,0.0,-0.0,1.0,long_only_60
logreg_l2,0,397,2019-08-14,0,0.4997357113514139,579,-0.0119790939376408,100258.0,-0.0005285772971721,0,0,0.0,-0.0,1.0,long_only_60
rf_200,0,397,2019-08-14,0,0.5444701264920024,579,-0.0119790939376408,100258.0,0.0889402529840048,0,0,0.0,-0.0,1.0316307393059436,long_short_sym
logreg_l2,0,397,2019-08-14,0,0.4997357113514139,579,-0.0119790939376408,100258.0,-0.0005285772971721,0,0,0.0,-0.0,1.0,long_short_sym
rf_200,0,397,2019-08-14,0,0.5444701264920024,579,-0.0119790939376408,100258.0,0.0889402529840048,0,0,0.0,-0.0,1.0324499194248022,long_only_55
rf_200,0,398,2019-08-15,1,0.5453131725895894,580,0.0075613030881209,99057.0,0.0906263451791788,0,0,0.0,0.0,1.0324499194248022,long_only_55
rf_200,0,398,2019-08-15,1,0.5453131725895894,580,0.0075613030881209,99057.0,0.0906263451791788,0,0,0.0,0.0,1.0,long_only_60
logreg_l2,0,398,2019-08-15,1,0.5117267407458145,580,0.0075613030881209,99057.0,0.0234534814916289,0,0,0.0,0.0,1.0,long_only_55
logreg_l2,0,398,2019-08-15,1,0.5117267407458145,580,0.0075613030881209,99057.0,0.0234534814916289,0,0,0.0,0.0,1.0,long_only_60
rf_200,0,398,2019-08-15,1,0.5453131725895894,580,0.0075613030881209,99057.0,0.0906263451791788,0,0,0.0,0.0,1.0316307393059436,long_short_sym
logreg_l2,0,398,2019-08-15,1,0.5117267407458145,580,0.0075613030881209,99057.0,0.0234534814916289,0,0,0.0,0.0,1.0,long_short_sym
